ts,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-07-30 23:31:01.318532,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0
2018-07-30 23:50:59.549820,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0
2018-07-31 00:11:05.691049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0
2018-07-31 00:31:05.591557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0
2018-07-31 00:52:10.342436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0
2018-07-31 01:11:30.436112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0,0.0
2018-07-31 01:36:05.489498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0,0.0
2018-07-31 01:52:15.562161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0,0.0
2018-07-31 02:14:40.426506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0,0.0,0.0
2018-07-31 02:34:45.338092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0,0.0,0.0
2018-07-31 02:52:40.558544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0,0.0,0.0
2018-07-31 03:13:41.185717,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0,0.0,0.0,0.0
2018-07-31 03:32:32.431559,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0,0.0,0.0,0.0
2018-07-31 03:53:53.285754,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,214.0,395.0,535.0,656.0,747.0,800.0,820.0,776.0,674.0,533.0,370.0,201.0,57.0,0.0,0.0,0.0
