ESS.Status.FullChargeEnergy,ShirleySouth-ESSPlant-ESS1,OpStatus,FullChargeEnergy_kWh,,kWh
ESS.Status.ExpectedEnergy,ShirleySouth-ESSPlant-ESS1,OpStatus,Energy_kWh,,kWh
ESS.Status.MaxChargePower,ShirleySouth-ESSPlant-ESS1,OpStatus,MaxChargePwr_kW,,kW
ESS.Status.MaxDischargePower,ShirleySouth-ESSPlant-ESS1,OpStatus,MaxDischargePwr_kW,,kW
ESS.Device.CommSt,ShirleySouth-ESSPlant-ESS1,HealthStatus,CommsStatus,0,
ESS.Meter.W,ShirleySouth-ESSPlant-ESS1,OpStatus,Pwr_raw,,kW
ESS.Meter.W_SF,ShirleySouth-ESSPlant-ESS1,OpStatus,Pwr_SF,,
PMC.ModeCtrl.OpModeCtrl,ShirleySouth,ModeControl,OpModeCtrl,,
PMC.ModeCtrl.OpModeStatus,ShirleySouth,ModeStatus,OpModeStatus,,
PMC.ModeCtrl.SysModeCtrl,ShirleySouth,ModeControl,SysModeCtrl,,
PMC.ModeCtrl.SysModeStatus,ShirleySouth,ModeStatus,SysModeStatus,,
PMC.ModeCtrl.GSModeCtrl,ShirleySouth,ModeControl,GSModeCtrl,,
PMC.ModeCtrl.GSModStatus,ShirleySouth,ModeStatus,GSModeStatus,,
PMC.ModeCtrl.GSHeartBeat,ShirleySouth,ModeStatus,GSHeartBeat,,
PMC.ModeCtrl.PMCWatchDog,ShirleySouth,ModeControl,PMCWatchDog,,
PMC.ModeCtrl.WatchDogTimeoutEnable,ShirleySouth,ModeControl,WatchDogTimeoutEnable,,
ESS.RealPwrCtrl.SetPoint,ShirleySouth-ESSPlant,RealPwrCtrl,SetPoint,,kW
PV.Device.CommStatus,ShirleySouth-PVPlant-Inverter1,HealthStatus,CommsStatus,0,
PV.Meter.W,ShirleySouth-PVPlant-Inverter1,OpStatus,Pwr_raw,,kW
PV.Meter.W_SF,ShirleySouth-PVPlant-Inverter1,OpStatus,Pwr_SF,,none
Site.Meter.W,ShirleySouth,OpStatus,Pwr_raw,,kW
Site.Meter.W_SF,ShirleySouth,OpStatus,Pwr_SF,,none
