ess.tesla_cfg.Config_Energy,ShirleySouth-ESSPlant-ESS1,Config,FullChargeEnergy_kWh,Y,kWh
ess.tesla_cfg.Config_NumBattMeters,ShirleySouth-ESSPlant-ESS1,Config,nBatteryMeters,,
ess.tesla_cfg.Config_NumbBlocks,ShirleySouth-ESSPlant-ESS1,Config,nBlocks,,
ess.tesla_q_ctrl.DirectReactive_Timeout,ShirleySouth-ESSPlant-ESS1,QSetPt,TimeoutWindow,,
ess.tesla_real_pwr_ctrl.DirectReal_Timeout,ShirleySouth-ESSPlant-ESS1,RealPwrCtrl,TimeoutWindow,,
ess.tesla_status.Status_CommandSource,ShirleySouth-ESSPlant-ESS1,ModeStatus,CommandSource,,
ess_meter.meter.Evt,ShirleySouth-ESSPlant-ESS1,HealthStatus,MeterEvt,,
ess_meter.meter.TotVAhImp,ShirleySouth-ESSPlant-ESS1,OpStatus,VAImp,,kVAh
ess_meter.meter.TotWhExp,ShirleySouth-ESSPlant-ESS1,OpStatus,WhExp,,kWh
ess_meter.meter.TotWhImp,ShirleySouth-ESSPlant-ESS1,OpStatus,WhImp,,kWh
inv1.alarms.UL_Recovery_Time_Left,ShirleySouth-PVPlant-Inverter1,ModeStatus,UL_recovery_time,,
inv1.cfg.Inverter Power Level,ShirleySouth-PVPlant-Inverter1,Config,Nameplate_kW,Y,
inv1.solectria_meter.AC_Grid_Frequency,ShirleySouth-PVPlant-Inverter1,OpStatus,frequency,Y,Hz
inv1.solectria_meter.DC_Voltage,ShirleySouth-PVPlant-Inverter1,OpStatus,V_DC,Y,V
pcc_meter.meter.TotVAhImp,ShirleySouth,OpStatus,VAImp,,kVAh
pcc_meter.meter.TotWhExp,ShirleySouth,OpStatus,WhExp,,kWh
pcc_meter.meter.TotWhImp,ShirleySouth,OpStatus,WhImp,,kWh
pmc.mode_control.GSModCtrl,ShirleySouth,ModeControl,GSModeCtrl,,
pmc.mode_control.GSModSt,ShirleySouth,ModeStatus,GSModeStatus,,
pmc.mode_control.SysModCtrl,ShirleySouth,ModeControl,SysModeCtrl,,
pmc.mode_control.SysModSt,ShirleySouth,ModeStatus,SysModeStatus,,
pmc.monitor.PMCSysModeReason,ShirleySouth,ModeStatus,SysModeReason,,
