Reference Point,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes
,ESS.Status.FullChargeEnergy,Wh,,>i,TRUE,1000,1000,
,ESS.Status.ExpectedEnergy,Wh,,>i,TRUE,1006,0,
,ESS.Status.MaxChargePower,W,,>i,TRUE,1002,500,
,ESS.Status.MaxDischargePower,W,,>i,TRUE,1004,500,
,ESS.Device.CommSt,,,>H,TRUE,1008,0,
,PV1.Device.CommStatus,,,>H,TRUE,1008,0,
,PV2.Meter.W,NegScaledW,,>h,TRUE,1009,0,
,PV2.Meter.W_SF,,,>h,TRUE,1010,0,
,PMC.ModeCtrl.OpModeCtrl,,,>H,TRUE,1011,0,
,PMC.ModeCtrl.OpModeStatus,,,>H,TRUE,1012,0,
,PMC.ModeCtrl.SysModeCtrl,,,>H,TRUE,1013,0,
,PMC.ModeCtrl.SysModeStatus,,,>H,TRUE,1014,0,
,PMC.ModeCtrl.GSModeCtrl,,,>H,TRUE,1015,0,
,PMC.ModeCtrl.GSModStatus,,,>H,TRUE,1016,0,
,PMC.ModeCtrl.GSHeartBeat,,,>H,TRUE,1017,0,
,PMC.ModeCtrl.PMCWatchDog,,,>H,TRUE,1018,0,
,PMC.ModeCtrl.WatchDogTimeoutEnable,,,>H,TRUE,1019,0,
,ESS.RealPwrCtrl.SetPoint,Pct,,>h,TRUE,1020,0,
,PV1.Device.CommStatus,,,>H,TRUE,1021,0,
,PV1.Meter.W,NegScaledW,,>h,TRUE,1022,0,
,PV1.Meter.W_SF,,,>h,TRUE,1023,0,
,Site.Meter.W,NegScaledW,,>h,TRUE,1024,0,
,Site.Meter.W_SF,,,>h,TRUE,1025,0,
