Reference Point,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes
,ESS_Meter.CommStatus.St,,,>H,TRUE,78,0,
,ESS.CommStatus.St,,,>H,TRUE,84,0,
,inv1_meter.CommStatus.St,,,>H,TRUE,90,0,
,inv1.CommStatus.St,,,>H,TRUE,96,0,
,pcc_meter.CommStatus.St,,,>H,TRUE,108,0,
,recloser.CommStatus.St,,,>H,TRUE,114,0,
,weatherStation.CommStatus.St,,,>H,TRUE,120,0,
,radio_north.CommStatus.St,,,>H,TRUE,126,0,
,ess_meter.meter.A,dA,,>h,TRUE,239,0,
,ess_meter.meter.PPV,dV,,>h,TRUE,248,0,
,ess_meter.meter.Hz,cHz,,>h,TRUE,253,0,
,ess_meter.meter.W,100W,,>h,TRUE,255,0,
,ess_meter.meter.VA,100VA,,>h,TRUE,260,0,
,ess_meter.meter.VAR,100VAr,,>h,TRUE,265,0,
,ess_meter.meter.PF,100pu,,>h,TRUE,270,0,
,ess_meter.meter.TotWhExp,100Wh,,>i,TRUE,275,0,
,ess_meter.meter.TotWhImp,100Wh,,>i,TRUE,283,0,
,ess_meter.meter.TotVAhImp,100VAh,,>i,TRUE,300,0,
,ess_meter.meter.Evt,,,>I,TRUE,342,0,
,pcc_meter.meter.A,dA,,>h,TRUE,346,0,
,pcc_meter.meter.PPV,ckV,,>h,TRUE,355,0,
,pcc_meter.meter.Hz,cHz,,>h,TRUE,360,0,
,pcc_meter.meter.W,100W,,>h,TRUE,362,0,
,pcc_meter.meter.VA,100VA,,>h,TRUE,367,0,
,pcc_meter.meter.VAR,100VAr,,>h,TRUE,372,0,
,pcc_meter.meter.PF,1000pu,,>h,TRUE,377,0,
,pcc_meter.meter.TotWhExp,100Wh,,>i,TRUE,382,0,
,pcc_meter.meter.TotWhImp,100Wh,,>i,TRUE,390,0,
,pcc_meter.meter.TotVAhImp,100VAh,,>i,TRUE,407,0,
,pcc_meter.meter.Evt,,,>I,TRUE,449,0,
