Reference Point,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes
,ess_meter.meter.Evt,,,>I,TRUE,342,0,
,recloser.CommStatus.St,,,>H,TRUE,114,0,
,weatherStation.CommStatus.St,,,>H,TRUE,120,0,
,radio_north.CommStatus.St,,,>H,TRUE,126,0,
,ess_meter.meter.TotWhExp,100Wh,,>i,TRUE,275,0,
,ess_meter.meter.TotWhImp,100Wh,,>i,TRUE,283,0,
,ess_meter.meter.TotVAhImp,100VAh,,>i,TRUE,300,0,
,pcc_meter.meter.TotWhExp,100Wh,,>i,TRUE,382,0,
,pcc_meter.meter.TotWhImp,100Wh,,>i,TRUE,390,0,
,pcc_meter.meter.TotVAhImp,100VAh,,>i,TRUE,407,0,
,weatherStation.irradiance.GHI,W/m2,,>H,TRUE,453,0,
,weatherStation.irradiance.POAI,W/m2,,>H,TRUE,454,0,
,weatherStation.temp.TmpBOM,C,,>h,TRUE,460,0,
,weatherStation.temp.TmpBOM,C,,>h,TRUE,461,0,
,gps.gps.Lat,deg,,>i,TRUE,494,0,
,gps.gps.Long,deg,,>i,TRUE,496,0,
,weatherStation.base_met.TmpAmb,C,,>h,TRUE,502,0,
,weatherStation.base_met.WndSpd,mps,,>h,TRUE,505,0,
,weatherStation.base_met.WndDir,deg,,>h,TRUE,506,0,
,pmc.mode_control.SysModCtrl,,,>H,TRUE,517,0,
,pmc.mode_control.SysModSt,,,>H,TRUE,518,0,
,pmc.mode_control.GSModCtrl,,,>H,TRUE,519,0,
,pmc.mode_control.GSModSt,,,>H,TRUE,520,0,
,pmc.monitor.PMCWatchDog,,,>H,TRUE,524,0,
,pmc.monitor.WatchDogTimeoutEnable,,,>H,TRUE,525,0,
,pmc.monitor.PMCSysModeReason,,,>H,TRUE,527,0,
,PVF.q_ctrl.Reactive_Power_Mode,,,>H,TRUE,616,0,
,PVF.pf_ctrl.PFC_Setpoint,1000pu,,>h,TRUE,617,0,
,PVF.q_setpt.Q_SetPoint,cPct,,>h,TRUE,624,0,
,PVF.pf_comp.PFCC_SetPoint,1000pu,,>h,TRUE,631,0,
,PVF.pf_comp.PFCC_Deadband,dPct,,>H,TRUE,632,0,
,PVF.pf_comp.PFCC_Gradient,dPct,,>h,TRUE,633,0,
,PVF.pf_comp.PFCC_PFLimit,1000pu,,>H,TRUE,634,0,
,PVF.v_reg.VRC_Deadband,dPct,,>H,TRUE,641,0,
,PVF.v_reg.VRC_Limit,1000pu,,>H,TRUE,642,0,
,PVF.v_reg.VRC_SetPoint,1000pu,,>H,TRUE,643,0,
,PVF.v_comp.VCC_SetPoint,1000pu,,>H,TRUE,650,0,
,PVF.v_comp.VCC_Deadband,dPct,,>H,TRUE,651,0,
,PVF.v_comp.VCC_Gradient,dPct,,>h,TRUE,652,0,
,PVF.v_comp.VCC_Limit,1000pu,,>H,TRUE,653,0,
,PVF.droop_ctrl.FD_Mode,,,>H,TRUE,662,0,
,PVF.droop_ctrl.FD_Start_hi,Hz,,>H,TRUE,663,0,
,PVF.droop_ctrl.FD_Start_low,Hz,,>H,TRUE,664,0,
,PVF.droop_ctrl.FD_Hys_En,,,>H,TRUE,665,0,
,PVF.droop_ctrl.FD_Hys_f,Hz,,>H,TRUE,666,0,
,PVF.droop_ctrl.FD_Gradient,Pct_per_hz,,>H,TRUE,667,0,
,PVF.e_stop.PVF_Control_Estop,,,>H,TRUE,670,0,
,inv1.cfg.Inverter Power Level,,,>H,TRUE,680,0,
,inv1.alarms.UL_Recovery_Time_Left,,,>H,TRUE,686,0,
,inv1.solectria_meter.DC_Voltage,SolectriaV,,>h,TRUE,689,0,
,inv1.solectria_meter.AC_Grid_Frequency,SolectriaHz,,>h,TRUE,690,0,
,recloser.status.Status,,,>H,TRUE,772,0,
,recloser.status.Evt,,,>H,TRUE,773,0,
,ess.tesla_cfg.Config_NumbBlocks,,,>H,TRUE,777,0,
0,ess.tesla_meter.RealEnergyExported,Wh,0,>L,TRUE,789,0,
0,ess.tesla_meter.RealEnergyImported,Wh,0,>L,TRUE,793,0,
0,ess.tesla_meter.ReactiveEnergyExported,Wh,0,>L,TRUE,797,0,
0,ess.tesla_meter.ReactiveEnergyImported,Wh,0,>L,TRUE,801,0,
,ess.tesla_cfg.Config_NumBattMeters,,,>H,TRUE,810,0,
,ess.tesla_cfg.Config_MaxChargePower,W,,>i,TRUE,815,0,
,ess.tesla_cfg.Config_MaxDischargePower,W,,>i,TRUE,817,0,
,ess.tesla_cfg.Config_MaxApparentPower,W,,>i,TRUE,819,0,
,ess.tesla_cfg.Config_Energy,Wh,,>i,TRUE,821,0,
,ess.tesla_status.Status_CommandSource,,,>H,TRUE,825,0,
