Reference Point,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes
,ess_meter.meter.Hz,cHz,,>h,TRUE,253,0,
,pcc_meter.meter.Hz,cHz,,>h,TRUE,360,0,
,ess.tesla_meter.Power_3Ph,W,,>i,TRUE,778,0,
0,ess.tesla_meter.Var_3Ph,VAr,0,>i,TRUE,780,0,
0,ess.tesla_meter.Apparent_3Ph,VA,0,>i,TRUE,782,0,
0,ess.tesla_meter.ACVoltage,dV,0,>i,TRUE,784,0,
0,ess.tesla_meter.ACCurrent,dA,0,>i,TRUE,786,0,
0,ess.tesla_meter.ACFrequency,mHz,0,>H,TRUE,788,0,
,ess.tesla_real_pwr_ctrl.DirectReal_PIncreaseLimit,W,,>i,TRUE,856,0,
,ess.tesla_real_pwr_ctrl.DirectReal_PDecreaseLimit,W,,>i,TRUE,858,0,
,ess.tesla_q_ctrl.DirectReactive_Q,VAr,,>i,TRUE,864,0,
,ess.tesla_q_ctrl.DirectReactive_QIncreaseLimit,VAr,,>i,TRUE,868,0,
,ess.tesla_q_ctrl.DirectReactive_QDecreaseLimit,VAr,,>i,TRUE,870,0,
,ESS_Meter.CommStatus.St,,,>H,TRUE,78,0,
,ESS.CommStatus.St,,,>H,TRUE,84,0,
,inv1_meter.CommStatus.St,,,>H,TRUE,90,0,
,inv1.CommStatus.St,,,>H,TRUE,96,0,
,pcc_meter.CommStatus.St,,,>H,TRUE,108,0,
,pcc_meter.meter.Evt,,,>I,TRUE,449,0,
,weatherStation.irradiance.POAI,W/m2,,>H,TRUE,454,0,
,pmc.monitor.GSHeartBeat,,,>H,TRUE,523,0,
,PVF.real_pwr_ctrl.W_SetPoint,dPct,,>h,TRUE,606,0,
,PVF.real_pwr_ctrl.W_Enable,,,>H,TRUE,611,0,
,inv1.alarms.Critical_Alarms,,,>H,TRUE,683,0,
,inv1.alarms.Informative_Alarms_1,,,>H,TRUE,684,0,
,inv1.alarms.Informative_Alarms_2,,,>H,TRUE,685,0,
,inv1.solectria_meter.L1-to-L2_AC_Voltage,SolectriaV,,>h,TRUE,691,0,
,inv1.solectria_meter.L2-to-L3_AC_Voltage,SolectriaV,,>h,TRUE,692,0,
,inv1.solectria_meter.L1-to-L3_AC_Voltage,SolectriaV,,>h,TRUE,693,0,
,inv1.solectria_meter.Reactive_AC_Power_Output,SolectriaVAr,,>H,TRUE,695,0,
,inv1.ramp_limit.Real_Power_Ramp_Rate,cPctPerSec,,>H,TRUE,701,0,
,inv1.ramp_limit.Reactive_Power_Ramp_Rate,cPctPerSec,,>H,TRUE,702,0,
,inv1.smartGrid_ctrl.Power_Priority_SmartGrid,,,>H,TRUE,706,0,
,inv1.smartGrid_ctrl.Watts_Reference,,,>H,TRUE,707,0,
,inv1.smartGrid_ctrl.Opmode_Control_MSW,,,>H,TRUE,708,0,
,inv1.smartGrid_ctrl.Opmode_Control_LSW,,,>H,TRUE,709,0,
,inv1.smartGrid_ctrl.Opmode_Status_MSW,,,>H,TRUE,710,0,
,inv1.smartGrid_ctrl.Opmode_Status_LSW,,,>H,TRUE,711,0,
,inv1.smartGrid_ctrl.Opmode_Trigger_MSW,,,>H,TRUE,712,0,
,inv1.smartGrid_ctrl.Opmode_Trigger_LSW,,,>H,TRUE,713,0,
,inv1.pwr_ctrl.Reactive_Power_Setpoint,cPct,,>h,TRUE,722,0,
,inv1.pwr_ctrl.Power_Factor_Ramp_Time,sec,,>H,TRUE,728,0,
,inv1.pwr_ctrl.Power_Factor_Setpoint,SolectriaPF,,>h,TRUE,729,0,
,ess.tesla_status.Status_NominalEnergy,Wh,,>i,TRUE,832,0,
,ess.tesla_status.Status_MaxApparentPower,W,,>i,TRUE,840,0,
,ess.tesla_real_pwr_ctrl.Real_Mode,,,>H,TRUE,851,0,
,ess.tesla_real_pwr_ctrl.DirectReal_Heartbeat,,,>H,TRUE,854,0,
,ess.tesla_q_ctrl.Reactive_Mode,,,>H,TRUE,862,0,
,ess.tesla_q_ctrl.Reactive_Priority,,,>H,TRUE,863,0,
,ess.tesla_q_ctrl.DirectReactive_Heartbeat,,,>H,TRUE,866,0,
,ess.tesla_alarms.Alarm_LossBattMeter,,,>H,TRUE,886,0,
,ess.tesla_alarms.Alarm_MainOpen,,,>H,TRUE,891,0,
,ess.tesla_alarms.Alarm_NumBlockCommFail,,,>H,TRUE,892,0,
,ess.tesla_alarms.Alarm_NumBlockOpFail,,,>H,TRUE,893,0,
,PVF.ramp_limit.MaxRRmpRte,dPctPerSec,,>H,TRUE,602,0,
,PVF.ramp_limit.MaxQRmpRte,dPctPerSec,,>H,TRUE,603,0,
,pcc_meter.meter.VAR,100VAr,,>h,TRUE,372,0,
,ess_meter.meter.VAR,100VAr,,>h,TRUE,265,0,
,ess_meter.meter.A,dA,,>h,TRUE,239,0,
,ess_meter.meter.PPV,dV,,>h,TRUE,248,0,
,ess_meter.meter.VA,100VA,,>h,TRUE,260,0,
,ess_meter.meter.PF,100pu,,>h,TRUE,270,0,
,pcc_meter.meter.A,dA,,>h,TRUE,346,0,
,pcc_meter.meter.PPV,ckV,,>h,TRUE,355,0,
,pcc_meter.meter.VA,100VA,,>h,TRUE,367,0,
,pcc_meter.meter.PF,1000pu,,>h,TRUE,377,0,
,ess.tesla_status.Status_BatteryTargetQ,VAr,,>i,TRUE,828,0,
,ess.tesla_status.Status_ExpectedEnergy,Wh,,>i,TRUE,834,0,
